#,Kingdom Name,Population,Best power clan name,Best kills clan name,Best power player name,Best kills player name
629,#493 Rosegarde,1828,AlwaysFLY,AlwaysFLY,FLy UC20,Duke0Roberts
630,#160 Phiviel,1827,live or die,live or die,KO KO WANTED,istifci61
631,#510 Cesgriva,1820,a74,Kill and Kill,2ML baiyun,Fb Mac Uyen
632,#111 Criachathe,1808,Reign of Dragons,Reign of Dragons,MarcoPolo44,SenpaiNipply
633,#282 Acaenyth,1807,WsK,WsK,CKT  W T,BB  9527
634,#593 Wolfshaus,1799,GJv Guardians,GJv Guardians,IKHALISI,LOVE 2000
635,#230 Brisozar,1798,TAL,TAL,jaxs222,jaxs222
636,#540 Kiyokami,1798,BonnieClyde Outlaws,BonnieClyde Outlaws,Fallenjet,B a R o N xD
637,#395 Casebria,1797,QYY,QYY,Cool BuBu,MrAlexRod
638,#389 Trerugia,1795,The KoRea,The KoRea,TKR SooHo,Bad killer A
639,#225 Wrokusia,1792,Wool Phoenix,Wool Phoenix,kenchinn,YHN 333
640,#75 Ytraofast,1789,GAME 0VER,GAME 0VER,Overlord  L,Lightning 6
641,#254 Dreakha,1784,Wonderful team yeah,Wonderful team yeah,WTY6 Roger,WTY6 Roger
642,#167 Othuna,1782,KT  zhang,KT  zhang,MX GOD,KT wei wei
643,#260 Qevia,1782,Hey THAILAND,Hey THAILAND,JOSEPH KOO,F R E E MAN
644,#328 Lenztern,1772,Arabic dreams,Arabic dreams,RoyaL SLuku,Bruce See
645,#5 Astelia,1754,WXZ 86G Family,FoN is your bf,Ford edge,To Baby G
646,#376 Agricca,1752,Ever Burning Star,Ever Burning Star,Ruby JPN,Ruby JPN
647,#97 Vrurgh,1751,The GreatWall5,The GreatWall5,Ww88w,GW shizhe
648,#622 Lokertals,1740,HappyFarm,TnX,Jupiter1022,Ellexia
649,#441 Santares,1737,PA1,dai dai,dai LLL B,Ca Ca Cafei
650,#95 Yobelgow,1736,Bitirim Aile,AE nhung chien binh,PRo V1X,I Am Zhen
651,#440 Terhaus,1729,Daguai,Daguai,D DoReMi 6,D KKY
652,#252 Nayetopia,1722,Brave Tenacious Team,Unknowm Destiny,dasheng58,Popoch
653,#257 Vreokya,1722,LYP,LYP,A   Adhere,A chongqing
654,#121 Dudurgh,1720,DiDiao888,DiDiao888,DiDiao,X1 Shark
655,#103 Lorora,1719,HYPERBOREA,HYPERBOREA,Melbourne007,Sandra06
656,#92 Wramland,1710,CDK OPE LNE Home,CDK OPE LNE Home,GK  yiyi,GK  yiyi
657,#513 Grimwich,1709,C t h,C t h,Cth2 Luky666,D  MAN
658,#477 Dewgate,1701,Speed,The Lost Child,Subject Zer0,yosnoya
659,#625 Boulogne,1697,C Rma,C Rma,boobtoucher,Best Dearcz
660,#308 Crogzach,1696,Forever  BOB,Forever  BOB,bukglkm,Stephen H
661,#113 Zioburn,1695,YEN,YEN,YenHao,YenHao
662,#543 Alcheshyn,1695,Wonders Home,Wonders Home,WH SS 19,Fight  MIN
663,#37 Hilrahal,1694,AiYouVvvvvvv,AiYouVvvvvvv,maney001,Per  Weirdie
664,#52 Trehgate,1693,VietNamGang,VietNamGang,F3 Night,Ou weiXun
665,#218 Kharene,1689,Dx Nsm qqb,Aggression Romania,znhgfe,TT   Panda
666,#345 Dhugokh,1689,N     y,New Got a SWAG,HimuroTaro,Takagi88
667,#143 Apenyth,1687,Wolf Team,Wolf Team,SunnyDavid,EDWIN 007
668,#287 Theathia,1687,CN TJO,CN TJO,Sinistermage,BL00DY ZEUS
669,#446 Culemhem,1687,Allure Love,Allure Love,Alex  XiaoYu,Alex  XiaoYu
670,#188 Cruvia,1678,The Gragon Knight,The Gragon Knight,xAxXXXXXXxAx,Ji Wong
671,#311 Arsele,1678,The Knights Of Ren,824,I Sayyes,lufeikai
672,#59 Vefey,1672,Korea In the World,Korea In the World,bora1123,bora1123
673,#494 Fordstead,1671,Hero    Boom,TF TuFeiMenggggggggg,ATM hehebaba,ATM 1H T
674,#156 Krathia,1669,QOK,QOK,Ok  789,ZG8 love
675,#312 Thornvein,1666,CIU,CIU,CG  Kirito,Applepple A
676,#518 Whytebourne,1665,B X J,United Empire A,you you,you you
677,#313 Strehull,1662,The Ghost coffin,The Ghost coffin,S07 lxt111,DFK      Fei
678,#120 Koifrolis,1660,Best Friend League,GTG,oWhiteShark,CTK Attlia
679,#267 Greneia,1659,CNW,CNW,fln 1998,Magic cow
680,#77 Zradena,1657,Groove CoveRage,Groove CoveRage,KURITTON,KURITTON
681,#499 Crowwick,1655,M0nster,M0nster,Daidalos,X Braveheart
682,#293 Zaedel,1646,Extreme,Extreme,KingKai 101,KingKai 101
683,#536 Ceabaesca,1643,Hr family,Hr family,VirusPlus,A6 Kitty
684,#365 Reguenha,1638,we  are  family,we  are  family,DNA SLC97,Rasalghul23
685,#159 Grista,1634,WaiK,WaiK,GAF tao T1,JnuGe
686,#133 Blasstead,1629,KEA Corps,RussianAttack,UnlockedTMG,K  Venom
687,#68 Veka,1628,Dear My Memory,Dear My Memory,B1ack Mamba,nn 2800
688,#187 Shagonith,1626,Mua,Mua,Mua S L,Mua fahad
689,#426 Lomlaon,1625,BTV and NSR,Kbb,TOM868,NH BTV
690,#155 Yeveria,1623,Me3e BuHo Pakua,Me3e BuHo Pakua,Don Junior,SIGNAL
691,#462 Shadehold,1619,cccddd,cccddd,gubei,KS  MLBoss
692,#455 Arteigena,1617,999999999,999999999,suhe203,00A00
693,#467 Mapleport,1617,Together forever,Together forever,REC66,DRAGON  X 02
694,#233 Vrerith,1607,God Bless Korea,God Bless Korea,JKR gqx,ZEST ACE
695,#90 Rhofita,1606,JAZZ CLUB,JAZZ CLUB,Arse No1,binary star
696,#141 Grigrey,1606,M47,M47,kazu kazu ka,Anlikwu
697,#170 Yadinem,1605,heroes and farmers,heroes and farmers,HU SHAO,W Milk tea
698,#278 Musea,1600,The Caesars,The Caesars,Gamza 9E,GG JoJove
699,#577 Wiedlisring,1598,Brothers and Sisters,Brothers and Sisters,TXO 2018lori,agriculteur
700,#142 Ezavell,1593,OneForAll,OneForAll,D Candy,Hxw love
701,#46 Zenite,1591,The Red Eagles,The Red Eagles,Boca9Juniors,Agoraphobia
702,#292 Estilux,1580,Devils crown Dealers,Devils crown Dealers,Obaw,Heulleise
703,#430 Viercre,1576,kindergarten,kindergarten,YEY sun0403,SB YEY HPP
704,#435 Chodnane,1575,Happy camp,Happy camp,XRiver StyxX,YS Lavendea
705,#229 Aphikya,1570,Addicted to War,Addicted to War,S a l v e s,TempestOfWar
706,#315 Ampenia,1569,CON,CON,V5 Niko,Put nik
707,#408 Everven,1569,Thai Killer,Thai Killer,Mocchi2,Sabotendaa
708,#403 Eastmore,1560,VNBros,VNBros,Rayquaza M,SonKaKa
709,#216 Udreagia,1559,WEW Warm home,WEW Warm home,Firrhy,WEW Lan
710,#236 Chawyth,1557,Dragons INN,Dragons INN,Cash KAO,CrazyDragonz
711,#55 Eitrisas,1553,Exe  and  JIA,GPS,Dedededede,l GDragon l
712,#565 Neuntetten,1553,hahahahahaha,hahahahahaha,HA TankNBman,HA 785
713,#427 Skivkebar,1548,Fair Meth Dealers,Fair Meth Dealers,Capt mangoo,SEATAC II
714,#546 Loakengate,1538,IIIIIIIIIIIIIIIIIIII,Scarlet Crusader,T W I C E,T W I C E
715,#583 Argensir,1536,ZNB Y H,ZNB Y H,ShiroNoArata,DAWOYA
716,#396 Aveirta,1529,Painkiller,Painkiller,CH HAI,CH HAI
717,#98 Sleka,1520,JKC,JKC,Dr  YU520,LF  MJS M
718,#354 Faerli,1514,Epx,Epx,K78 loii NKD,00101100010B
719,#213 Phoudor,1497,GracefulWhitePigeon,Chelsey,nong fu 1,Lv 25
720,#134 Yiglueron,1494,we love fan,we love fan,atom975,Lnd Ninja
721,#410 Duneford,1492,We are lovely family,We are lovely family,Myles07,V zzz
722,#519 Steinfoss,1492,Bee,Bee,DeathDemon,Zmmm11
723,#524 Faygrove,1492,Your name in heart,Your name in heart,Yn Promise C,YV L3
724,#199 Kigoburg,1489,ChinaHeroicCannoneer,ChinaHeroicCannoneer,Hong Bae,999999 VVV
725,#448 Rvenwind,1483,Long Live MW2,Long Live MW2,iHuntYa,KrunchJen
726,#458 Sisinde,1483,Ursinhos Herois,Ursinhos Herois,Hwa Rang e,Junshou
727,#158 Soritus,1480,Tady u nas,La Table Ronde,Lordwolff,Lordwolff
728,#76 Pukluuridge,1479,FED,FED,Gavno8987,B3 yehua
729,#474 Mossham,1479,Red China,Red China,anqiya66,TT HuaiY
730,#284 Barousha,1478,cici,Wings of Mind,XXXXXXeeeeee,Q wudi
731,#416 Waldendris,1475,Aaai,Aaai,YH shouhuzhe,F  Dream
732,#381 Sapyrgos,1473,YSH,YSH,fishily,oKPo
733,#379 Pordello,1469,NUA,Russian Hedgehogs,Dobrij volk,IiIlIiIlIiiI
734,#221 Piravell,1465,JuliTixia Shzhwwang,JuliTixia Shzhwwang,Doorn,N4 Thanh Alo
735,#164 Utheapis,1457,AnhEm3Mien,AnhEm3Mien,C2 Acelynn,C2 Acelynn
736,#168 Asleria,1456,G W,Happy Nice Everyday,MV Bjmaster,May peng
737,#181 Oqodian,1440,DZC,Taozi,it still,T dadax
738,#330 Camlun,1437,LT GAD,LT GAD,LT1 selina,YENiCERi 35
739,#138 Krouis,1435,Mobile Suit Gundam I,Mobile Suit Gundam I,kk fufu851,ZG HERO
740,#596 Avibeliard,1431,725,Cocaine and Waffles,Sh zhiqiu,Alex   007
741,#599 Kaiserbach,1431,Cz ARCHA,Cz ARCHA,Co2frost,S4jmOn
742,#320 Frordoba,1425,Home For All,Peace Envoy Family,XXL2020,XXL2020
743,#329 Thannstein,1416,HOALOHA,HOALOHA,1Aaron,Raku GG
744,#575 Amsterlo,1410,Decisive Battle UN,Murder Kings,Jesixu,Yll taoge
745,#436 Longmel,1407,YLQ,YLQ,Cl1tCommandr,CMTskzj2
746,#84 Qzecledo,1401,Forever Kingdom,JJ FLY,Lilian1910,C  love hua
747,#246 Nalux,1401,JGM,JGM,shan pig,Xx W A R xX
748,#326 Coruros,1401,Glory Korea,Glory Korea,TT  AK47,sojung jihoo
749,#131 Bradrand,1399,yaoyaojiu,yaoyaojiu,Nan GG,ZS1 whjy119
750,#445 Weststone,1390,We a China,We a China,Heavenly God,CTK WuZeTian
751,#336 Cleryonne,1386,1CCP1,1CCP1,Daffzor,DANNY 40
752,#245 Braiven,1379,Farmers struggle,Farmers struggle,MIA   HoRus,D Liang Zai
753,#165 Duscana,1369,Than Ho,Than Ho,MadeInHaNoi,TH2TuanKhang
754,#338 Oderheim,1353,Hotel niraikanai,Hotel niraikanai,keijiDTC,Painomi
755,#96 Kipluenphis,1352,xiaoyuer,xiaoyuer,No 1 dA,kylin7
756,#268 Cearith,1352,Superior,Superior,King Airwick,Peter Works
757,#149 Ulcebiz,1330,To Be True,Shoulder,lix18,JuliaK
758,#392 Almeivira,1315,Chinese Knight Angel,Chinese Knight Angel,x1aoTo,KA kangbazi
759,#564 Burgnach,1291,HXH HunterXHunter,HXH HunterXHunter,Fung368,ping0003
760,#350 Westerstad,1287,SCM Brother League,SCM Brother League,cj6676,nik 11111111
761,#94 Vidence,1281,S  A,S  A,ValkyrieSnow,ValkyrieSnow
762,#182 Droweth,1270,pc1,pc1,PC  silly220,Pc Yue
763,#241 Crodel,1264,Here is the memories,Here is the memories,CDan 33,DDHNB
764,#466 Rethytsi,1261,KCBFD,KCBFD,089luogge,089luogge
765,#177 Xaigon,1260,Chinese House,SG Ir0nMan,BiBiBaBiBu,Kiranda
766,#210 Vrusta,1258,One Piece D,One Piece D,CN ZEUS,CN Julias
767,#421 Hallstatt,1253,ARMATA,ARMATA,X MOLOT X,JHUNIOR1997
768,#391 Mazanto,1246,remember who we are,Free Free KKO,Sir FLI,K1  DLF
769,#56 Yrence,1244,YYu Never Give Up,datong110,YYuHtc,D10 Avenger
770,#442 Andereinde,1213,Luner Hunter Army,United Exiles,Beakon Marie,T BinBin2012
771,#382 Trasmo,1207,Kollossus of Tempest,QYQ,Snowman426,GoodKushIvan
772,#132 Nohbus,1206,DZH,DZH,ss and mothe,kangkang 91
773,#157 Crevea,1205,Nordic Clowns,Reborn in Glory,dlwdjwnj,Grayswandir
774,#557 Vohenwig,1167,Burning for fun,Burning for fun,ArifDurrani7,XXE TAOTAO11
775,#70 Dragon Arena,0,,,,
776,#71 Royal Battleground,0,,,,
777,#777 Traeborg,0,,,,
778,#778 Shadris,0,,,,
779,#779 Rairene,0,,,,
780,#780 Thonia,0,,,,
781,#781 Azonid,0,,,,
782,#782 Owaral,0,,,,
783,#783 Xylodor,0,,,,
784,#784 Mypegon,0,,,,
785,#785 Kafizar,0,,,,
786,#786 Cabretis,0,,,,
787,#787 Driwyth,0,,,,
788,#788 Bregulla,0,,,,
789,#789 Drederith,0,,,,
790,#790 Ozitis,0,,,,
791,#791 Edanatia,0,,,,
792,#792 Agania,0,,,,
793,#793 Tikuluz,0,,,,
794,#794 Ceton,0,,,,
795,#795 Theadel,0,,,,
796,#796 Vrurania,0,,,,
797,#797 Yinem,0,,,,
798,#798 Krudoria,0,,,,
799,#799 Pheania,0,,,,
800,#800 Ostoba,0,,,,
